Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1555  - ,1,2024-07-29T12:03:12+02:00,2024-07-29T12:03:14+02:00,0
T1555  - ,2,2024-07-29T12:03:16+02:00,2024-07-29T12:03:18+02:00,0
T1555  - ,3,2024-07-29T12:03:20+02:00,2024-07-29T12:03:20+02:00,0
T1555  - ,4,2024-07-29T12:03:22+02:00,2024-07-29T12:03:23+02:00,0
T1555  - ,5,2024-07-29T12:03:25+02:00,2024-07-29T12:03:25+02:00,0
T1555  - ,6,2024-07-29T12:03:27+02:00,2024-07-29T12:03:49+02:00,0
T1555  - ,7,2024-07-29T12:03:51+02:00,2024-07-29T12:03:52+02:00,0
T1555  - ,8,2024-07-29T12:03:54+02:00,2024-07-29T12:03:56+02:00,0
T1546  - ,1,2024-07-29T12:03:58+02:00,2024-07-29T12:03:58+02:00,0
T1546  - ,2,2024-07-29T12:04:00+02:00,2024-07-29T12:04:01+02:00,0
T1546  - ,3,2024-07-29T12:04:03+02:00,2024-07-29T12:04:03+02:00,0
T1546  - ,4,2024-07-29T12:04:06+02:00,2024-07-29T12:04:10+02:00,0
T1106  - ,1,2024-07-29T12:04:13+02:00,2024-07-29T12:04:14+02:00,0
T1106  - ,2,2024-07-29T12:04:16+02:00,2024-07-29T12:04:17+02:00,0
