Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1018  - ,10,2024-06-19T10:24:29+02:00,2024-06-19T10:24:33+02:00,0
T1018  - ,11,2024-06-19T10:24:37+02:00,2024-06-19T10:24:40+02:00,0
T1018  - ,12,2024-06-19T10:24:43+02:00,2024-06-19T10:24:46+02:00,0
T1018  - ,13,2024-06-19T10:24:53+02:00,2024-06-19T10:25:02+02:00,0
T1018  - ,14,2024-06-19T10:25:06+02:00,2024-06-19T10:25:13+02:00,-2146233087
T1018  - ,15,2024-06-19T10:25:17+02:00,2024-06-19T10:25:18+02:00,2
T1018  - ,16,2024-06-19T10:25:20+02:00,2024-06-19T10:25:22+02:00,0
T1020  - ,1,2024-06-19T10:25:28+02:00,2024-06-19T10:25:31+02:00,0
T1020  - ,2,2024-06-19T10:25:35+02:00,2024-06-19T10:27:25+02:00,-1
T1021.001  - ,1,2024-06-19T10:27:29+02:00,2024-06-19T10:27:32+02:00,0
T1021.001  - ,2,2024-06-19T10:27:36+02:00,2024-06-19T10:27:40+02:00,0
T1021.001  - ,3,2024-06-19T10:27:46+02:00,2024-06-19T10:27:47+02:00,0
T1021.001  - ,4,2024-06-19T10:27:53+02:00,2024-06-19T10:27:53+02:00,0
T1021.002  - ,1,2024-06-19T10:27:55+02:00,2024-06-19T10:28:01+02:00,2
T1021.002  - ,2,2024-06-19T10:28:03+02:00,2024-06-19T10:28:06+02:00,0
T1021.002  - ,3,2024-06-19T10:28:10+02:00,2024-06-19T10:28:11+02:00,1
T1021.002  - ,4,2024-06-19T10:28:13+02:00,2024-06-19T10:28:13+02:00,0
T1021.003  - ,1,2024-06-19T10:28:15+02:00,2024-06-19T10:28:18+02:00,0
T1021.003  - ,2,2024-06-19T10:28:21+02:00,2024-06-19T10:28:24+02:00,0
T1021.006  - ,1,2024-06-19T10:28:27+02:00,2024-06-19T10:28:30+02:00,1
T1021.006  - ,2,2024-06-19T10:28:33+02:00,2024-06-19T10:28:38+02:00,1
T1021.006  - ,3,2024-06-19T10:28:45+02:00,2024-06-19T10:28:47+02:00,0
T1027  - ,1,2024-06-19T10:28:50+02:00,2024-06-19T10:28:54+02:00,0
T1027  - ,2,2024-06-19T10:28:57+02:00,2024-06-19T10:29:01+02:00,0
T1027  - ,3,2024-06-19T10:29:05+02:00,2024-06-19T10:29:05+02:00,1
T1027  - ,4,2024-06-19T10:29:07+02:00,2024-06-19T10:29:11+02:00,0
T1027  - ,5,2024-06-19T10:29:14+02:00,2024-06-19T10:29:18+02:00,0
T1027  - ,6,2024-06-19T10:29:20+02:00,2024-06-19T10:29:22+02:00,0
T1027  - ,7,2024-06-19T10:29:25+02:00,2024-06-19T10:29:25+02:00,0
T1027  - ,8,2024-06-19T10:29:27+02:00,2024-06-19T10:29:29+02:00,0
T1027  - ,9,2024-06-19T10:29:32+02:00,2024-06-19T10:29:32+02:00,1
